rb,deadband,maker_timeout,sharpe,annuel,brut,frais,funding,ratio_couts,maker_fill,trades,dd
1D,0.1,2,0.14891372631578628,0.020589614210200446,30401.710676969204,18482.091045099685,1326.6884809338644,0.6515679244668188,0.6134727262254478,1415,-0.2404893795214208
1D,0.1,12,0.13574923988937526,0.018493973713751943,29001.428059117003,18229.567982755823,1311.162248615872,0.6737851043589832,0.5718350307123674,1415,-0.23384994872933929
1D,0.2,12,0.11705768632777372,0.015590361059732771,27168.644543739545,18010.492271962154,1272.2061575584926,0.7097409073344422,0.5763173914194214,1412,-0.2592351980594737
1D,0.35,12,0.10630235530593372,0.013801313187213005,26383.039560420337,18267.55254557629,1200.9028775928555,0.73791556043359,0.56932624577758,1423,-0.25026150159182214
1D,0.2,2,0.08577774188971868,0.010542662821716675,24598.969214991346,18100.57019834408,1268.0754037490713,0.7873763096662327,0.6105266167305163,1416,-0.2651922644269401
1D,0.35,2,0.07832450519936933,0.009298560389811028,24016.652812296517,18250.25762969857,1205.1201762013882,0.8100786549214224,0.6115296803652968,1423,-0.2610914752548332
1W,0.1,12,-0.30035590020665826,-0.04880876413107138,-5964.372640916039,15707.384086436989,550.8053486034813,2.725884248664827,0.5590753424657534,1023,-0.2385606440607726
1W,0.2,2,-0.35879493270970364,-0.057558995637018495,-9169.502442512581,16040.136314216063,470.12093170352216,1.8005619551801466,0.6113558343712975,1030,-0.2669066964453032
1W,0.35,12,-0.36581413420051717,-0.05858409062020298,-9800.334255240792,15924.469235542167,418.9436343706321,1.667638311537492,0.5602761405806592,1037,-0.27535793891744387
1W,0.2,12,-0.3706328064191663,-0.05902926766783345,-9869.577618084666,15869.747608897564,518.5847267064572,1.6604897362147106,0.5624310306775546,1035,-0.276660355879336
1W,0.35,2,-0.3786556190539612,-0.06032089641310301,-10344.02463039179,16109.63007620577,309.33629737211095,1.5872899534033686,0.6159784451441027,1035,-0.28265119296707253
1W,0.1,2,-0.40292761335520816,-0.06401974649127706,-12302.03419214181,15293.798916760132,596.8147230820755,1.2917061838433745,0.6198720361309747,1037,-0.2952420557077754
