budget,k,levier,annuel,mensuel_med,sharpe,dd,dd_mensuel_pire,tue,trades
mandat,1.0,1,0.020589614210200446,-0.0012954047103661548,0.14891372631578628,-0.2404893795214208,-0.07206020272338143,False,1415
mandat,1.0,2,-0.0969469239741958,0.0,-0.9542313901787053,-0.40054246125425175,-0.13810670198005348,True,222
mandat,1.0,3,-0.09951217353798014,0.0,-0.8800655653434282,-0.40901596417061803,-0.1875217159563467,True,114
mandat,1.0,4,-0.09772211369214623,0.0,-0.7880294530401581,-0.40311614333818346,-0.2532150929133413,True,79
mandat,1.0,5,-0.09668143370460447,0.0,-0.7540478651113214,-0.39998081080488523,-0.25008043930364354,True,59
mandat,1.0,6,-0.10237510801000371,0.0,-0.7240015101711091,-0.41835478940568127,-0.24976515759080886,True,53
mandat,1.0,8,-0.09722088067021617,0.0,-0.5942934705456506,-0.40145572391938844,-0.2648050083449083,True,42
mandat,1.0,10,-0.0964733903566467,0.0,-0.5236499347287981,-0.39961730595519773,-0.2645293243169411,True,22
DD x2,2.0,1,0.020332014493418038,-0.0012932970275433275,0.14732598246769887,-0.2414681700012521,-0.07205980644955168,False,1415
DD x2,2.0,2,-0.06930168046217178,-0.007214621954632017,-0.2698433971969449,-0.5459828992265983,-0.14244168955458536,False,1413
DD x2,2.0,3,-0.1779273708377821,-0.01586384518082712,-0.6188578138872701,-0.7409938986114695,-0.1872976031180008,False,1411
DD x2,2.0,4,-0.27475977605092927,0.0,-1.340872827526017,-0.7998363696877057,-0.2258805463424438,True,538
DD x2,2.0,5,-0.2748257461071806,0.0,-1.4054549652072057,-0.7999180120470981,-0.2610516125187863,True,368
DD x2,2.0,6,-0.2758890296783315,0.0,-1.4442969775739898,-0.8013811536476662,-0.28574493423964487,True,272
DD x2,2.0,8,-0.27508826555071153,0.0,-1.3775023801196211,-0.8002800535362723,-0.3292535778408491,True,217
DD x2,2.0,10,-0.2746422288767638,0.0,-1.2515332811506554,-0.7997400524315648,-0.37400885575430676,True,199
