budget,levier,annuel,mensuel_med,sharpe,dd,pire_mois,tue,trades
mandat (DD 25%),1.0,0.07136650702119574,0.0015000586810756111,0.3832497596559101,-0.12972643841468,-0.06010921861059171,False,512
mandat (DD 25%),1.5,0.05608562244877269,0.008600618378196256,0.24636433954827036,-0.226493922653621,-0.0912741831860906,False,817
mandat (DD 25%),2.0,0.030810251209435924,0.0023946177451644735,0.13973024061747302,-0.2456722697745778,-0.1171499606905464,False,1032
mandat (DD 25%),2.5,-0.09664734912201056,0.0,-0.6260398944007277,-0.39987902956882737,-0.1408638568074525,True,277
mandat (DD 25%),3.0,-0.09680775409633713,0.0,-0.6669691895802455,-0.3999098425144352,-0.1845126267293652,True,211
mandat (DD 25%),4.0,-0.09854780076611802,0.0,-0.6963059959197826,-0.40567045709496685,-0.24892938768682005,True,109
mandat (DD 25%),5.0,-0.09697256081409433,0.0,-0.6178341477799124,-0.4004573606225066,-0.2556680931539499,True,92
DD x2 (50%),1.0,0.07136650702119574,0.0015000586810756111,0.3832497596559101,-0.12972643841468,-0.06010921861059171,False,512
DD x2 (50%),1.5,0.05488771309924534,0.0086052137680519,0.24200314863414707,-0.22646909075453925,-0.09732869065573702,False,817
DD x2 (50%),2.0,0.024348938702978717,0.002590805896857784,0.11849438530206849,-0.2533481873339507,-0.11695446143032917,False,1030
DD x2 (50%),2.5,-0.005491190775649191,-0.0016738193914849764,0.02298896445980827,-0.4448681020406814,-0.14034375192823834,False,1105
DD x2 (50%),3.0,-0.013062552755235712,-0.0009651833827598599,0.003894523914162834,-0.508709232878857,-0.18541136443920014,False,1150
DD x2 (50%),4.0,-0.14035737167344797,-0.015207960135362797,-0.3472245764286559,-0.678641104883922,-0.22732411676457898,False,1226
DD x2 (50%),5.0,-0.2158737470967017,-0.014939154522004283,-0.5359566181366604,-0.7600087156466075,-0.2675131981504264,False,1242
