leverage,monthly_return_median,monthly_return_ci95_low,monthly_return_ci95_high,annualized_return,sharpe,max_drawdown,monthly_dd_p95,n_liquidations,ruin_probability,killed,method
1.0,-0.0012954047103661548,-0.005776812193487357,0.010263965477423032,0.020589614210200446,0.14891372631578628,-0.2404893795214208,-0.046997010266158254,0,0.0,False,moteur_rejoue
1.5,-0.0036753092739983395,-0.012659054266595804,0.01007740200416496,-0.012704823003603871,-0.03747529913426745,-0.3902913936597716,-0.061836217474588936,0,0.00125,False,moteur_rejoue
2.0,0.0,0.0,0.0,-0.0969469239741958,-0.9542313901787053,-0.40054246125425175,-0.042128572024609116,0,0.006,True,moteur_rejoue
2.5,0.0,0.0,0.0,-0.09836750058728227,-0.901336266411793,-0.40525580989918863,-0.04495279079164795,0,0.00575,True,moteur_rejoue
3.0,0.0,0.0,0.0,-0.09951217353798014,-0.8800655653434282,-0.40901596417061803,-0.04486974362844299,0,0.00875,True,moteur_rejoue
3.5,0.0,0.0,0.0,-0.09702093689652058,-0.7950542547841734,-0.4007923460540652,-0.04478018312954304,0,0.00175,True,moteur_rejoue
4.0,0.0,0.0,0.0,-0.09772211369214623,-0.7880294530401581,-0.40311614333818346,-0.04684377198452663,0,0.00025,True,moteur_rejoue
4.5,0.0,0.0,0.0,-0.09662938549619948,-0.7654293108079939,-0.399491544253606,-0.046670366804941826,0,0.00075,True,moteur_rejoue
5.0,0.0,0.0,0.0,-0.09668143370460447,-0.7540478651113214,-0.39998081080488523,-0.049394528871256276,0,0.0,True,moteur_rejoue
5.5,0.0,0.0,0.0,-0.09919290266842662,-0.7380541668539581,-0.4079671195331692,-0.055572857858374375,0,0.00025,True,moteur_rejoue
6.0,0.0,0.0,0.0,-0.10237510801000371,-0.7240015101711091,-0.41835478940568127,-0.05898442074033825,0,0.00175,True,moteur_rejoue
6.5,0.0,0.0,0.0,-0.09784513644679216,-0.673873721763583,-0.4035231132706859,-0.051675660240738386,0,0.0005,True,moteur_rejoue
7.0,0.0,0.0,0.0,-0.09666679097959086,-0.6491854437457782,-0.39992472696365766,-0.057103043620023365,0,0.0,True,moteur_rejoue
7.5,0.0,0.0,0.0,-0.09834471297867109,-0.6261481295263394,-0.4051734750894268,-0.05281370276392069,0,0.0,True,moteur_rejoue
8.0,0.0,0.0,0.0,-0.09722088067021617,-0.5942934705456506,-0.40145572391938844,-0.05306157878201968,0,0.00025,True,moteur_rejoue
8.5,0.0,0.0,0.0,-0.09793618005220084,-0.5843458931360029,-0.40382415043796827,-0.04877148289631644,0,0.00025,True,moteur_rejoue
9.0,0.0,0.0,0.0,-0.09774354856262768,-0.5503940290602605,-0.40318706772420754,-0.06659832501125826,0,0.0,True,moteur_rejoue
9.5,0.0,0.0,0.0,-0.0964147558463,-0.5223186360668053,-0.3987775492020337,-0.06725657535616598,0,0.0,True,moteur_rejoue
10.0,0.0,0.0,0.0,-0.0964733903566467,-0.5236499347287981,-0.39961730595519773,-0.05658158795225817,0,0.0,True,moteur_rejoue
